n,k,m,sigma2_sq,eta,Power
200,4,50,1.1,0.25,0.0576
200,4,50,1.1,0.5,0.0625
200,4,50,1.1,0.75,0.0623
200,4,50,1.25,0.25,0.0941
200,4,50,1.25,0.5,0.1203
200,4,50,1.25,0.75,0.1141
200,4,50,1.5,0.25,0.2082
200,4,50,1.5,0.5,0.3365
200,4,50,1.5,0.75,0.3096
200,4,50,2.0,0.25,0.5644
200,4,50,2.0,0.5,0.8127
200,4,50,2.0,0.75,0.7472
200,4,50,3.0,0.25,0.9636
200,4,50,3.0,0.5,0.9982
200,4,50,3.0,0.75,0.9895
200,4,50,5.0,0.25,1.0
200,4,50,5.0,0.5,1.0
200,4,50,5.0,0.75,1.0
200,5,40,1.1,0.25,0.0499
200,5,40,1.1,0.5,0.0572
200,5,40,1.1,0.75,0.0535
200,5,40,1.25,0.25,0.0769
200,5,40,1.25,0.5,0.099
200,5,40,1.25,0.75,0.0901
200,5,40,1.5,0.25,0.1515
200,5,40,1.5,0.5,0.2525
200,5,40,1.5,0.75,0.2327
200,5,40,2.0,0.25,0.3719
200,5,40,2.0,0.5,0.6522
200,5,40,2.0,0.75,0.6008
200,5,40,3.0,0.25,0.8227
200,5,40,3.0,0.5,0.9789
200,5,40,3.0,0.75,0.9533
200,5,40,5.0,0.25,0.9956
200,5,40,5.0,0.5,1.0
200,5,40,5.0,0.75,0.9999
200,10,20,1.1,0.25,0.0552
200,10,20,1.1,0.5,0.0564
200,10,20,1.1,0.75,0.0559
200,10,20,1.25,0.25,0.0731
200,10,20,1.25,0.5,0.0892
200,10,20,1.25,0.75,0.0792
200,10,20,1.5,0.25,0.1215
200,10,20,1.5,0.5,0.2197
200,10,20,1.5,0.75,0.1883
200,10,20,2.0,0.25,0.28
200,10,20,2.0,0.5,0.6118
200,10,20,2.0,0.75,0.5213
200,10,20,3.0,0.25,0.6297
200,10,20,3.0,0.5,0.9724
200,10,20,3.0,0.75,0.9313
200,10,20,5.0,0.25,0.9425
200,10,20,5.0,0.5,1.0
200,10,20,5.0,0.75,0.9992
500,5,100,1.1,0.25,0.0625
500,5,100,1.1,0.5,0.0727
500,5,100,1.1,0.75,0.0669
500,5,100,1.25,0.25,0.1447
500,5,100,1.25,0.5,0.2048
500,5,100,1.25,0.75,0.1762
500,5,100,1.5,0.25,0.3912
500,5,100,1.5,0.5,0.605
500,5,100,1.5,0.75,0.5289
500,5,100,2.0,0.25,0.8924
500,5,100,2.0,0.5,0.9856
500,5,100,2.0,0.75,0.952
500,5,100,3.0,0.25,0.9999
500,5,100,3.0,0.5,1.0
500,5,100,3.0,0.75,0.9998
500,5,100,5.0,0.25,1.0
500,5,100,5.0,0.5,1.0
500,5,100,5.0,0.75,1.0
500,10,50,1.1,0.25,0.063
500,10,50,1.1,0.5,0.0685
500,10,50,1.1,0.75,0.0689
500,10,50,1.25,0.25,0.1036
500,10,50,1.25,0.5,0.1752
500,10,50,1.25,0.75,0.1405
500,10,50,1.5,0.25,0.2906
500,10,50,1.5,0.5,0.5456
500,10,50,1.5,0.75,0.4256
500,10,50,2.0,0.25,0.7708
500,10,50,2.0,0.5,0.9814
500,10,50,2.0,0.75,0.9234
500,10,50,3.0,0.25,0.9975
500,10,50,3.0,0.5,1.0
500,10,50,3.0,0.75,1.0
500,10,50,5.0,0.25,1.0
500,10,50,5.0,0.5,1.0
500,10,50,5.0,0.75,1.0
2500,5,500,1.1,0.25,0.1444
2500,5,500,1.1,0.5,0.1839
2500,5,500,1.1,0.75,0.1572
2500,5,500,1.25,0.25,0.6425
2500,5,500,1.25,0.5,0.824
2500,5,500,1.25,0.75,0.7139
2500,5,500,1.5,0.25,0.9965
2500,5,500,1.5,0.5,0.9997
2500,5,500,1.5,0.75,0.9981
2500,5,500,2.0,0.25,1.0
2500,5,500,2.0,0.5,1.0
2500,5,500,2.0,0.75,1.0
2500,5,500,3.0,0.25,1.0
2500,5,500,3.0,0.5,1.0
2500,5,500,3.0,0.75,1.0
2500,5,500,5.0,0.25,1.0
2500,5,500,5.0,0.5,1.0
2500,5,500,5.0,0.75,1.0
2500,10,250,1.1,0.25,0.1126
2500,10,250,1.1,0.5,0.1611
2500,10,250,1.1,0.75,0.1208
2500,10,250,1.25,0.25,0.5158
2500,10,250,1.25,0.5,0.7962
2500,10,250,1.25,0.75,0.6076
2500,10,250,1.5,0.25,0.9897
2500,10,250,1.5,0.5,1.0
2500,10,250,1.5,0.75,0.9954
2500,10,250,2.0,0.25,1.0
2500,10,250,2.0,0.5,1.0
2500,10,250,2.0,0.75,1.0
2500,10,250,3.0,0.25,1.0
2500,10,250,3.0,0.5,1.0
2500,10,250,3.0,0.75,1.0
2500,10,250,5.0,0.25,1.0
2500,10,250,5.0,0.5,1.0
2500,10,250,5.0,0.75,1.0
2500,25,100,1.1,0.25,0.0934
2500,25,100,1.1,0.5,0.1108
2500,25,100,1.1,0.75,0.0989
2500,25,100,1.25,0.25,0.3688
2500,25,100,1.25,0.5,0.571
2500,25,100,1.25,0.75,0.4547
2500,25,100,1.5,0.25,0.9477
2500,25,100,1.5,0.5,0.9971
2500,25,100,1.5,0.75,0.9831
2500,25,100,2.0,0.25,1.0
2500,25,100,2.0,0.5,1.0
2500,25,100,2.0,0.75,1.0
2500,25,100,3.0,0.25,1.0
2500,25,100,3.0,0.5,1.0
2500,25,100,3.0,0.75,1.0
2500,25,100,5.0,0.25,1.0
2500,25,100,5.0,0.5,1.0
2500,25,100,5.0,0.75,1.0
10000,10,1000,1.1,0.25,0.4095
10000,10,1000,1.1,0.5,0.6246
10000,10,1000,1.1,0.75,0.4324
10000,10,1000,1.25,0.25,0.998
10000,10,1000,1.25,0.5,1.0
10000,10,1000,1.25,0.75,0.9993
10000,10,1000,1.5,0.25,1.0
10000,10,1000,1.5,0.5,1.0
10000,10,1000,1.5,0.75,1.0
10000,10,1000,2.0,0.25,1.0
10000,10,1000,2.0,0.5,1.0
10000,10,1000,2.0,0.75,1.0
10000,10,1000,3.0,0.25,1.0
10000,10,1000,3.0,0.5,1.0
10000,10,1000,3.0,0.75,1.0
10000,10,1000,5.0,0.25,1.0
10000,10,1000,5.0,0.5,1.0
10000,10,1000,5.0,0.75,1.0
10000,20,500,1.1,0.25,0.3281
10000,20,500,1.1,0.5,0.4724
10000,20,500,1.1,0.75,0.3676
10000,20,500,1.25,0.25,0.9959
10000,20,500,1.25,0.5,0.9999
10000,20,500,1.25,0.75,0.9981
10000,20,500,1.5,0.25,1.0
10000,20,500,1.5,0.5,1.0
10000,20,500,1.5,0.75,1.0
10000,20,500,2.0,0.25,1.0
10000,20,500,2.0,0.5,1.0
10000,20,500,2.0,0.75,1.0
10000,20,500,3.0,0.25,1.0
10000,20,500,3.0,0.5,1.0
10000,20,500,3.0,0.75,1.0
10000,20,500,5.0,0.25,1.0
10000,20,500,5.0,0.5,1.0
10000,20,500,5.0,0.75,1.0
10000,50,200,1.1,0.25,0.1954
10000,50,200,1.1,0.5,0.289
10000,50,200,1.1,0.75,0.2204
10000,50,200,1.25,0.25,0.9446
10000,50,200,1.25,0.5,0.9972
10000,50,200,1.25,0.75,0.9793
10000,50,200,1.5,0.25,1.0
10000,50,200,1.5,0.5,1.0
10000,50,200,1.5,0.75,1.0
10000,50,200,2.0,0.25,1.0
10000,50,200,2.0,0.5,1.0
10000,50,200,2.0,0.75,1.0
10000,50,200,3.0,0.25,1.0
10000,50,200,3.0,0.5,1.0
10000,50,200,3.0,0.75,1.0
10000,50,200,5.0,0.25,1.0
10000,50,200,5.0,0.5,1.0
10000,50,200,5.0,0.75,1.0
