Distribution,n,k,m,Type_I_Error
t5,200,4,50,0.329
t5,200,5,40,0.3683
t5,200,10,20,0.502
t5,500,5,100,0.4427
t5,500,10,50,0.5931
t5,2500,5,500,0.5203
t5,2500,10,250,0.7264
t5,2500,25,100,0.9345
t5,10000,10,1000,0.7907
t5,10000,20,500,0.9419
t5,10000,50,200,0.9986
Laplace,200,4,50,0.3365
Laplace,200,5,40,0.3793
Laplace,200,10,20,0.546
Laplace,500,5,100,0.4093
Laplace,500,10,50,0.612
Laplace,2500,5,500,0.4271
Laplace,2500,10,250,0.6413
Laplace,2500,25,100,0.9159
Laplace,10000,10,1000,0.6516
Laplace,10000,20,500,0.8768
Laplace,10000,50,200,0.9946
SkewNormal,200,4,50,0.1161
SkewNormal,200,5,40,0.1211
SkewNormal,200,10,20,0.1606
SkewNormal,500,5,100,0.1286
SkewNormal,500,10,50,0.1764
SkewNormal,2500,5,500,0.1312
SkewNormal,2500,10,250,0.1885
SkewNormal,2500,25,100,0.3025
SkewNormal,10000,10,1000,0.1883
SkewNormal,10000,20,500,0.2724
SkewNormal,10000,50,200,0.4751
